country,population,life_expect,fertility,fertility_adol,mortal_5,mobile_phones,migration,electricity,gdp,inflation,pop_growth,surface_area,unemployment_rate
Ukraine,44132049.0,71.19,1.22,15.32,8.4,129.34,-2173.0,100.0,2350.4,2.73,-0.57,603550.0,9.48
United Arab Emirates,9287289.0,78.95,1.46,3.08,6.6,197.84,-2762.0,100.0,41276.06,-2.08,0.82,98647.9,4.29
United Kingdom,67081000.0,80.9,1.56,10.65,4.3,117.82,211063.0,100.0,42098.75,0.99,0.37,243610.0,4.47
United States,331501080.0,77.28,1.64,15.83,6.3,104.94,675560.0,100.0,58453.45,1.23,0.96,9831510.0,8.05
Uruguay,3429086.0,78.43,1.48,35.93,6.3,132.73,-1486.0,100.0,15197.96,9.76,0.02,176220.0,10.33
Uzbekistan,34232050.0,70.33,2.9,16.48,14.7,99.58,-39203.0,100.0,3159.73,12.87,1.92,448924.0,5.29
Vanuatu,311685.0,70.3,3.78,64.86,24.0,79.0,-197.0,67.33,2623.05,5.33,2.36,12190.0,2.02
Vietnam,96648685.0,75.38,1.96,34.71,20.9,143.75,-2016.0,100.0,3352.06,3.22,0.91,331340.0,2.1
West Bank and Gaza,4803269.0,74.4,3.57,44.53,15.3,79.63,-12369.0,100.0,2922.47,-0.74,2.49,6020.0,25.89
Zambia,18927715.0,62.38,4.38,119.01,59.7,100.93,9015.0,44.52,1237.28,15.73,2.93,752610.0,6.03
Zimbabwe,15669666.0,61.12,3.55,96.18,51.8,84.19,-29955.0,52.75,1213.12,557.2,2.03,390760.0,7.9
